approach,corpus,query,type,k,method,chunking,source_file,score,year
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,DENSE,fixed,exe3/clean-text/UK/debates2024-04-24.txt (exe3/chunked-text/UK/chunk_3216.txt),0.856,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,DENSE,fixed,exe3/clean-text/UK/debates2024-03-11.txt (exe3/chunked-text/UK/chunk_2678.txt),0.8557,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,DENSE,fixed,exe3/clean-text/UK/debates2024-10-30.txt (exe3/chunked-text/UK/chunk_4683.txt),0.8557,2024
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,DENSE,fixed,exe3/clean-text/UK/debates2025-01-27.txt (exe3/chunked-text/UK/chunk_5924.txt),0.8545,2025
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,DENSE,fixed,exe3/clean-text/UK/debates2025-03-19.txt (exe3/chunked-text/UK/chunk_6722.txt),0.8524,2025
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,DENSE,fixed,exe3/clean-text/UK/debates2025-03-04.txt (exe3/chunked-text/UK/chunk_6393.txt),0.8507,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-03-20.txt (exe3/chunked-text/UK/chunk_6728.txt),0.8429,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-05-13.txt (exe3/chunked-text/UK/chunk_7441.txt),0.8359,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-03-04.txt (exe3/chunked-text/UK/chunk_6408.txt),0.8358,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-03-04.txt (exe3/chunked-text/UK/chunk_6408.txt),0.8762,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-10-29.txt (exe3/chunked-text/UK/chunk_9174.txt),0.8754,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-01-07.txt (exe3/chunked-text/UK/chunk_5570.txt),0.8753,2025
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-07-04.txt (exe3/chunked-text/UK/chunk_106.txt),0.8431,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-11-14.txt (exe3/chunked-text/UK/chunk_1061.txt),0.8415,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-07-18.txt (exe3/chunked-text/UK/chunk_313.txt),0.8415,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-10-16.txt (exe3/chunked-text/UK/chunk_699.txt),0.8693,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-11-14.txt (exe3/chunked-text/UK/chunk_1061.txt),0.8647,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-10-26.txt (exe3/chunked-text/UK/chunk_916.txt),0.8634,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-10-17.txt (exe3/chunked-text/UK/chunk_717.txt),0.8599,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-10-19.txt (exe3/chunked-text/UK/chunk_773.txt),0.8596,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2023-11-23.txt (exe3/chunked-text/UK/chunk_1212.txt),0.8586,2023
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-10-15.txt (exe3/chunked-text/UK/chunk_8936.txt),0.8661,2025
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-10-15.txt (exe3/chunked-text/UK/chunk_8939.txt),0.866,2025
hard_filter,uk,What is the latest official position regarding legislation on the protection of veterans?,recency,3,DENSE,fixed,exe3/clean-text/UK/debates2025-06-30.txt (exe3/chunked-text/UK/chunk_8159.txt),0.8658,2025
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,DENSE,fixed,exe3/clean-text/UK/debates2023-10-16.txt (exe3/chunked-text/UK/chunk_695.txt),0.9044,2023
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,DENSE,fixed,exe3/clean-text/UK/debates2024-04-15.txt (exe3/chunked-text/UK/chunk_3019.txt),0.8997,2024
hard_filter,uk,how did the prime minister/president's rhetoric regarding the war between israel and hamas/gaza change between his first and last speech?,evolution,3,DENSE,fixed,exe3/clean-text/UK/debates2024-01-15.txt (exe3/chunked-text/UK/chunk_1756.txt),0.8987,2024
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,DENSE,fixed,exe3/clean-text/UK/debates2023-11-09.txt (exe3/chunked-text/UK/chunk_981.txt),0.8652,2023
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,DENSE,fixed,exe3/clean-text/UK/debates2023-11-09.txt (exe3/chunked-text/UK/chunk_980.txt),0.8613,2023
hard_filter,uk,How has the approach to the restoration and maintenance of local and community infrastructure changed between late 2023 and late 2024?,evolution,3,DENSE,fixed,exe3/clean-text/UK/debates2023-10-26.txt (exe3/chunked-text/UK/chunk_895.txt),0.8562,2023
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,DENSE,fixed,exe3/clean-text/UK/debates2024-04-24.txt (exe3/chunked-text/UK/chunk_3217.txt),0.8776,2024
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,DENSE,fixed,exe3/clean-text/UK/debates2025-01-06.txt (exe3/chunked-text/UK/chunk_5538.txt),0.8694,2025
hard_filter,uk,who is the minister of defense/secretary of defense?,ambiguity,3,DENSE,fixed,exe3/clean-text/UK/debates2023-12-18.txt (exe3/chunked-text/UK/chunk_1591.txt),0.8677,2023
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,DENSE,fixed,exe3/clean-text/UK/debates2024-12-19.txt (exe3/chunked-text/UK/chunk_5496.txt),0.8196,2024
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,DENSE,fixed,exe3/clean-text/UK/debates2025-01-16.txt (exe3/chunked-text/UK/chunk_5725.txt),0.8124,2025
hard_filter,uk,Who holds the position responsible for Rural Development?,ambiguity,3,DENSE,fixed,exe3/clean-text/UK/debates2023-10-19.txt (exe3/chunked-text/UK/chunk_764.txt),0.8119,2023
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,DENSE,parentSon,exe3/clean-text/UK/debates2024-10-23.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_10740.txt),0.8562,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,DENSE,parentSon,exe3/clean-text/UK/debates2024-03-11.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_6320.txt),0.8553,2024
hard_filter,uk,what was the specific budget allocated to security in 2024?,hard_filter,3,DENSE,parentSon,exe3/clean-text/UK/debates2024-05-07.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_7982.txt),0.8516,2024
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-04-02.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_16422.txt),0.8541,2025
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-03-19.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_15863.txt),0.8529,2025
hard_filter,uk,What was the specific amount allocated to support the public sector for National Insurance costs in 2025?,hard_filter,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-01-27.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_13969.txt),0.852,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-03-20.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_15875.txt),0.8373,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-03-20.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_15876.txt),0.8366,2025
hard_filter,uk,What is the current official position regarding the State of Israel?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-06-24.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_19060.txt),0.8338,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-10-29.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_21667.txt),0.8699,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-02-27.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_14978.txt),0.8676,2025
hard_filter,uk,What is the current official position regarding Hamas/Gaza?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2025-02-25.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_14809.txt),0.8673,2025
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-10-17.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_1714.txt),0.8446,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-07-04.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_256.txt),0.8375,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of the State of Israel?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-12-04.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_3215.txt),0.8371,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-10-16.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_1651.txt),0.8507,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-11-27.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_2961.txt),0.8494,2023
hard_filter,uk,Was the official position in the last quarter of 2023 supportive of Hamas/Gaza?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-12-11.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_3487.txt),0.8487,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-10-17.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_1714.txt),0.8661,2023
hard_filter,uk,Has the official position in the last quarter of 2023 changed relative to the official position in the last quarter of 2025?,recency,3,DENSE,parentSon,exe3/clean-text/UK/debates2023-10-17.txt (exe3/parent-child-chunked-text/UK/children/child_chunk_1692.txt),0.8656,2023
